Survey	Location	id	Serial	Morph	C_Age	TL_mm	M_radius	Age	Radius	L	TL_inch	L2
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	8	1.06037	334.7248362	13.17814316	339.2299721
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	9	1.11051	351.7251804	13.84744805	355.5478256
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	10	1.17576	373.8486837	14.71845211	376.70021
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	11	1.22209	389.5572187	15.33689837	391.6650794
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	12	1.25773	401.6412288	15.8126468	403.1477514
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	13	1.28737	411.6908938	16.20830291	412.678551
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	14	1.31755	421.9236498	16.61116732	422.3659474
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	15	1.34137	430	16.92913386	430
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	1	0.39594	101.4008978	3.992161329	110.4388135
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	2	0.51931	139.3968921	5.48806662	150.1273186
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	3	0.66324	183.725039	7.233269251	195.1500561
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	4	0.81796	231.3763339	9.109304483	242.3693467
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	5	0.92476	264.2690323	10.40429261	274.3859004
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	6	1.01218	291.1929994	11.46429132	300.2913327
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	7	1.08084	312.3391855	12.29681833	320.4658021
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	8	1.14762	332.9063615	13.10654967	339.9539775
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	9	1.21151	352.5834636	13.88123872	358.4831216
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	10	1.27526	372.2174479	14.65423023	376.8656185
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	11	1.33417	390.3607893	15.36853501	393.7634102
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	12	1.38009	404.5034177	15.9253314	406.8785811
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	13	1.40784	413.0499755	16.26181006	414.7810737
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	14	1.42084	417.0537684	16.4194397	418.4772782
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	15	1.43448	421.2546711	16.58482957	422.3514844
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	16	1.44781	425.3600987	16.74646058	426.1337576
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	17	1.45824	428.5723725	16.87292805	429.0905298
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	18	1.46579	430.8976522	16.9644745	431.229418
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	19	1.47301	433.1212972	17.05201957	433.2736939
9	Klondike Reef	121	LS04-2-12	Lean	20	435	1.47911	20	1.47911	435	17.12598425	435
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	1	0.37775	102.7215346	4.044154905	108.722473
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	2	0.55271	161.6389629	6.363738695	168.9201577
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	3	0.68286	205.4667137	8.089240697	212.6860188
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	4	0.77802	237.5116524	9.350852457	244.2590853
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	5	0.87716	270.8968481	10.66523024	276.827285
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	6	0.94424	293.4859032	11.55456312	298.6957544
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	7	1.00856	315.1455339	12.40730449	319.5485103
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	8	1.08356	340.4016331	13.4016391	343.7309129
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	9	1.13257	356.9056521	14.05140363	359.4609154
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	10	1.1686	369.0386822	14.52908198	370.9902997
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	11	1.20288	380.5824033	14.98355918	381.9334613
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	12	1.22273	387.2668509	15.24672641	388.2587745
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	13	1.23662	391.9442804	15.43087718	392.6800377
